Total , Description    , Type
   120, purrior        , prestige
   140, scout          , prestige
   141, dominator      , prestige
   144, centurion      , prestige
   162, explorer       , prestige
   220, guard          , prestige
   254, meowfoolest    , prestige
   257, driver         , prestige
   260, meownificent   , prestige
   273, velite         , prestige
   388, meowfool       , prestige
   430, pawsfree       , prestige
   438, werekitty      , prestige
   472, timbers        , prestige
   513, catterypack    , prestige
   520, grandfinale    , prestige
   554, confettibox    , prestige
   557, meownique      , prestige
   615, thatsawrap     , prestige
   617, aegis          , prestige
   620, maraud         , prestige
   624, bionic         , prestige
   683, fileshare      , prestige
   711, landlubber     , prestige
   759, holidaycheer   , prestige
   772, scratchingpost , prestige
   783, beatlesque     , prestige
   793, brassard       , prestige
   828, squelch        , prestige
   837, huacool        , prestige
   854, reindeer       , prestige
   905, cindylou       , prestige
   905, gauntlet       , prestige
   921, prune          , prestige
   926, alpunka        , prestige
   950, meowthulhu     , prestige
   959, wrecked        , prestige
   998, furball        , prestige
  1006, lit            , prestige
  1048, inaband        , prestige
  1080, celebration    , prestige
  1101, metime         , environment
  1145, bridesmaid     , coloreyes
  1151, uplink         , prestige
  1220, alpacacino     , prestige
  1246, dreamcloud     , prestige
  1249, duckduckcat    , prestige
  1277, hooked         , prestige
  1295, downbythebay   , coloreyes
  1344, purrbados      , prestige
  1668, oasis          , coloreyes
  1675, gemini         , coloreyes
  1713, struck         , mouth
  1881, summerbonnet   , colortertiary
  2012, floorislava    , environment
  2038, secretgarden   , environment
  2056, foghornpawhorn , wild
  2117, ruhroh         , mouth
  2299, autumnmoon     , coloreyes
  2473, myparade       , environment
  2484, oohshiny       , prestige
  2531, gyre           , pattern
  2673, babypuke       , coloreyes
  2884, isotope        , coloreyes
  2943, frozen         , environment
  2957, aflutter       , wild
  3069, kurilian       , body
  3198, ooze           , colorsecondary
  3262, balinese       , body
  3448, junglebook     , environment
  3530, dune           , environment
  3626, walrus         , mouth
  3851, tendertears    , eyes
  3917, alicorn        , wild
  3934, mallowflower   , colortertiary
  4015, lavender       , colorprimary
  4262, scorpius       , pattern
  4374, trioculus      , wild
  4573, cyborg         , colorsecondary
  4611, jacked         , environment
  4632, icicle         , colorprimary
  4728, oceanid        , eyes
  4870, dioscuri       , coloreyes
  4933, seafoam        , colortertiary
  4948, drift          , environment
  5020, yokel          , mouth
  5046, samwise        , mouth
  5467, hotcocoa       , colorprimary
  5575, garnet         , colorsecondary
  5620, cornflower     , colorprimary
  5808, juju           , environment
  5851, featherbrain   , wild
  5977, fox            , body
  6085, majestic       , mouth
  6161, fallspice      , colortertiary
  6282, inflatablepool , colorsecondary
  6352, splat          , pattern
  6358, delite         , mouth
  6375, twilightsparkle, coloreyes
  6510, cobalt         , colortertiary
  6650, turtleback     , colorsecondary
  6720, vigilante      , pattern
  6760, hyacinth       , colorprimary
  6801, topoftheworld  , mouth
  6895, mintmacaron    , colortertiary
  7045, liger          , body
  7214, dreamboat      , colortertiary
  7494, buttercup      , colortertiary
  7507, pearl          , colorsecondary
  7632, firedup        , eyes
  7943, prism          , environment
  8139, hotrod         , pattern
